"from","to","weight"
"MMP25","MMP17",905
"IL1B","TLR9",916
"IL1B","TLR9",916
"LY96","TLR9",725
"LY96","TLR9",725
"CPA1","CTRB1",951
"CPA1","CTRB1",951
"MMP3","CTRB1",900
"MMP3","CTRB1",900
"TNFRSF1A","STAT1",958
"TNFRSF1A","STAT1",958
"LAP3","STAT1",745
"LAP3","STAT1",745
"IL2","STAT1",968
"IL2","STAT1",968
"NR3C1","STAT1",796
"NR3C1","STAT1",796
"AHR","STAT1",990
"AHR","STAT1",990
"PDGFRB","STAT1",977
"PDGFRB","STAT1",977
"EP300","STAT1",999
"EP300","STAT1",999
"IL1B","STAT1",746
"IL1B","STAT1",746
"HDAC4","STAT1",825
"HDAC4","STAT1",825
"EGFR","STAT1",996
"EGFR","STAT1",996
"PPARG","STAT1",854
"PPARG","STAT1",854
"KIT","STAT1",909
"KIT","STAT1",909
"FOS","STAT1",941
"FOS","STAT1",941
"PTPN2","STAT1",996
"PTPN2","STAT1",996
"GSK3B","STAT1",785
"GSK3B","STAT1",785
"NOS2","STAT1",959
"NOS2","STAT1",959
"LCK","STAT1",959
"LCK","STAT1",959
"CAMK2D","STAT1",918
"CAMK2D","STAT1",918
"PTPN11","STAT1",990
"PTPN11","STAT1",990
"FYN","STAT1",953
"FYN","STAT1",953
"SIGMAR1","DRD2",983
"SIGMAR1","DRD2",983
"SLC18A2","DRD2",736
"SLC18A2","DRD2",736
"ADORA2A","DRD2",865
"ADORA2A","DRD2",865
"MAOA","DRD2",757
"MAOA","DRD2",757
"CFTR","PSMB5",903
"CFTR","PSMB5",903
"PSMA4","PSMB5",999
"PSMA4","PSMB5",999
"PSMA3","PSMB5",999
"PSMA3","PSMB5",999
"PSMA2","PSMB5",999
"PSMA2","PSMB5",999
"NFKB1","PSMB5",921
"NFKB1","PSMB5",921
"ODC1","PSMB5",906
"ODC1","PSMB5",906
"PSMB7","PSMB5",999
"PSMB7","PSMB5",999
"PSMA6","PSMB5",999
"PSMA6","PSMB5",999
"PSMB1","PSMB5",999
"PSMB1","PSMB5",999
"PSMB6","PSMB5",999
"PSMB6","PSMB5",999
"PSMA5","PSMB5",999
"PSMA5","PSMB5",999
"PSMB4","PSMB5",999
"PSMB4","PSMB5",999
"PSMA8","PSMB5",997
"PSMA8","PSMB5",997
"PSMB10","PSMB5",995
"PSMB10","PSMB5",995
"KYNU","KMO",999
"KYNU","KMO",999
"IDE","GNPAT",904
"IDE","GNPAT",904
"NOS2","GNPAT",905
"NOS2","GNPAT",905
"NR0B2","ESRRG",912
"NR0B2","ESRRG",912
"OPRD1","ADORA1",828
"OPRD1","ADORA1",828
"GNG2","ADORA1",800
"GNG2","ADORA1",800
"ADORA2A","ADORA1",899
"ADORA2A","ADORA1",899
"HDAC4","KDM5B",963
"HDAC4","KDM5B",963
"MMP13","ADAMTS4",872
"MMP13","ADAMTS4",872
"MMP3","ADAMTS4",840
"MMP3","ADAMTS4",840
"CA4","CA14",713
"CA4","CARBONIC ANHYDRASE XIV",713
"CARBONIC ANHYDRASE IV","CA14",713
"CARBONIC ANHYDRASE IV","CARBONIC ANHYDRASE XIV",713
"CA4","CA14",713
"CA4","CARBONIC ANHYDRASE XIV",713
"CARBONIC ANHYDRASE IV","CA14",713
"CARBONIC ANHYDRASE IV","CARBONIC ANHYDRASE XIV",713
"TNFRSF1A","EPHA7",715
"TNFRSF1A","EPHA7",715
"EPHA4","EPHA7",917
"EPHA4","EPHA7",917
"EPHA3","EPHA7",967
"EPHA3","EPHA7",967
"LCK","EPHA7",904
"LCK","EPHA7",904
"FYN","EPHA7",911
"FYN","EPHA7",911
"TPH1","HTR1B",716
"TPH1","HTR1B",716
"GNG2","HTR1B",977
"GNG2","HTR1B",977
"MAOA","HTR1B",708
"MAOA","HTR1B",708
"GNG2","NTSR1",952
"GNG2","NTSR1",952
"NMBR","BRS3",816
"NMBR","BRS3",816
"CFTR","PSMA7",917
"CFTR","PSMA7",917
"PSMA4","PSMA7",999
"PSMA4","PSMA7",999
"PSMA3","PSMA7",999
"PSMA3","PSMA7",999
"PSMA2","PSMA7",999
"PSMA2","PSMA7",999
"NFKB1","PSMA7",931
"NFKB1","PSMA7",931
"ODC1","PSMA7",905
"ODC1","PSMA7",905
"PSMB7","PSMA7",999
"PSMB7","PSMA7",999
"PSMA6","PSMA7",999
"PSMA6","PSMA7",999
"PSMB1","PSMA7",999
"PSMB1","PSMA7",999
"PSMB6","PSMA7",999
"PSMB6","PSMA7",999
"PSMA5","PSMA7",999
"PSMA5","PSMA7",999
"PSMB4","PSMA7",999
"PSMB4","PSMA7",999
"PSMA8","PSMA7",922
"PSMA8","PSMA7",922
"PSMB10","PSMA7",996
"PSMB10","PSMA7",996
"PSMB5","PSMA7",999
"PSMB5","PSMA7",999
"TNFRSF1A","XIAP",845
"TNFRSF1A","XIAP",845
"USP4","XIAP",917
"USP4","XIAP",917
"CASP10","XIAP",902
"CASP10","XIAP",902
"CASP9","XIAP",999
"CASP9","XIAP",999
"CTSB","XIAP",715
"CTSB","XIAP",715
"HDAC7","JUN",760
"HDAC7","JUN",760
"HDAC5","JUN",766
"HDAC5","JUN",766
"IL2","JUN",969
"IL2","JUN",969
"NR3C1","JUN",998
"NR3C1","JUN",998
"NR0B2","JUN",768
"NR0B2","JUN",768
"CDK4","JUN",708
"CDK4","JUN",708
"EP300","JUN",999
"EP300","JUN",999
"IL1B","JUN",957
"IL1B","JUN",957
"AKT3","JUN",888
"AKT3","JUN",888
"CDK2","JUN",765
"CDK2","JUN",765
"NCOR1","JUN",926
"NCOR1","JUN",926
"EGFR","JUN",764
"EGFR","JUN",764
"APP","JUN",793
"APP","JUN",793
"PPARG","JUN",984
"PPARG","JUN",984
"NOS3","JUN",958
"NOS3","JUN",958
"HDAC3","JUN",940
"HDAC3","JUN",940
"FOS","JUN",999
"FOS","JUN",999
"CXCL8","JUN",957
"CXCL8","JUN",957
"MMP1","JUN",853
"MMP1","JUN",853
"GSK3B","JUN",990
"GSK3B","JUN",990
"NOS2","JUN",956
"NOS2","JUN",956
"CASP9","JUN",782
"CASP9","JUN",782
"ESR2","JUN",958
"ESR2","JUN",958
"STAT1","JUN",839
"STAT1","JUN",839
"FAP","DPP7",750
"FAP","DPP7",750
"DPP9","DPP7",862
"DPP9","DPP7",862
"DPP8","DPP7",873
"DPP8","DPP7",873
"DPP4","DPP7",799
"DPP4","DPP7",799
"PDGFRB","PTPN1",975
"PDGFRB","PTPN1",975
"NOX4","PTPN1",951
"NOX4","PTPN1",951
"EGFR","PTPN1",999
"EGFR","PTPN1",999
"PTPN11","PTPN1",863
"PTPN11","PTPN1",863
"LNPEP","TNKS2",965
"LNPEP","TNKS2",965
"TNKS","TNKS2",921
"TNKS","TNKS2",921
"PARP10","TNKS2",703
"PARP10","TNKS2",703
"MMP2","MMP9",908
"MMP2","MMP9",908
"MPO","MMP9",727
"MPO","MMP9",727
"NMBR","MMP9",708
"NMBR","MMP9",708
"IL1B","MMP9",882
"IL1B","MMP9",882
"ICAM1","MMP9",781
"ICAM1","MMP9",781
"EGFR","MMP9",733
"EGFR","MMP9",733
"VCAM1","MMP9",728
"VCAM1","MMP9",728
"MMP3","MMP9",918
"MMP3","MMP9",918
"CXCL8","MMP9",871
"CXCL8","MMP9",871
"MMP1","MMP9",961
"MMP1","MMP9",961
"EPHB3","MMP9",903
"EPHB3","MMP9",903
"CTSL","MMP9",729
"CTSL","MMP9",729
"CTSB","MMP9",823
"CTSB","MMP9",823
"CTRB1","MMP9",902
"CTRB1","MMP9",902
"JUN","MMP9",849
"JUN","MMP9",849
"GRIK5","GRIK3",762
"GRIK5","GRIK3",762
"CFTR","PSMB2",903
"CFTR","PSMB2",903
"PSMA4","PSMB2",999
"PSMA4","PSMB2",999
"PSMA3","PSMB2",999
"PSMA3","PSMB2",999
"PSMA2","PSMB2",999
"PSMA2","PSMB2",999
"NFKB1","PSMB2",931
"NFKB1","PSMB2",931
"ODC1","PSMB2",904
"ODC1","PSMB2",904
"PSMB7","PSMB2",999
"PSMB7","PSMB2",999
"PSMA6","PSMB2",999
"PSMA6","PSMB2",999
"PSMB1","PSMB2",999
"PSMB1","PSMB2",999
"PSMB6","PSMB2",999
"PSMB6","PSMB2",999
"PSMA5","PSMB2",999
"PSMA5","PSMB2",999
"PSMB4","PSMB2",999
"PSMB4","PSMB2",999
"PSMA8","PSMB2",999
"PSMA8","PSMB2",999
"PSMB10","PSMB2",999
"PSMB10","PSMB2",999
"PSMB5","PSMB2",999
"PSMB5","PSMB2",999
"PSMA7","PSMB2",999
"PSMA7","PSMB2",999
"AKR1B1","GLO1",754
"ALDOSE REDUCTASE","GLO1",754
"AKR1B1","GLO1",754
"ALDOSE REDUCTASE","GLO1",754
"MAOA","GLO1",837
"MAOA","GLO1",837
"FOS","PIM1",912
"FOS","PIM1",912
"HDAC7","HDAC1",853
"HDAC7","HDAC1",853
"HDAC5","HDAC1",835
"HDAC5","HDAC1",835
"NFKB1","HDAC1",996
"NFKB1","HDAC1",996
"NR3C1","HDAC1",939
"NR3C1","HDAC1",939
"NR0B2","HDAC1",984
"NR0B2","HDAC1",984
"CDK4","HDAC1",965
"CDK4","HDAC1",965
"EP300","HDAC1",999
"EP300","HDAC1",999
"CDK2","HDAC1",957
"CDK2","HDAC1",957
"NCOR1","HDAC1",999
"NCOR1","HDAC1",999
"CBX4","HDAC1",783
"CBX4","HDAC1",783
"PPARG","HDAC1",929
"PPARG","HDAC1",929
"GRIA2","HDAC1",915
"GRIA2","HDAC1",915
"HDAC3","HDAC1",937
"HDAC3","HDAC1",937
"FOS","HDAC1",789
"FOS","HDAC1",789
"TERT","HDAC1",942
"TERT","HDAC1",942
"CTBP2","HDAC1",975
"CTBP2","HDAC1",975
"RUVBL1","HDAC1",814
"RUVBL1","HDAC1",814
"RARB","HDAC1",928
"RARB","HDAC1",928
"STAT1","HDAC1",957
"STAT1","HDAC1",957
"KDM5B","HDAC1",927
"KDM5B","HDAC1",927
"JUN","HDAC1",958
"JUN","HDAC1",958
"EP300","HDAC8",856
"EP300","HDAC8",856
"NCOR1","HDAC8",858
"NCOR1","HDAC8",858
"LTA4H","ALOX5",978
"LTA4H","ALOX5",978
"ALOX12","ALOX5",913
"ALOX12","ALOX5",913
"MMP2","EPHB2",930
"MMP2","EPHB2",930
"KIF11","EPHB2",833
"KIF11","EPHB2",833
"LCK","EPHB2",905
"LCK","EPHB2",905
"FYN","EPHB2",914
"FYN","EPHB2",914
"MMP9","EPHB2",931
"MMP9","EPHB2",931
"HDAC7","AR",951
"HDAC7","AR",951
"NR3C1","AR",930
"NR3C1","AR",930
"AHR","AR",908
"AHR","AR",908
"NR0B2","AR",849
"NR0B2","AR",849
"EP300","AR",997
"EP300","AR",997
"BRD4","AR",994
"BRD4","AR",994
"HDAC4","AR",706
"HDAC4","AR",706
"NCOR1","AR",998
"NCOR1","AR",998
"EGFR","AR",989
"EGFR","AR",989
"HDAC3","AR",861
"HDAC3","AR",861
"GSK3B","AR",966
"GSK3B","AR",966
"GNG2","AR",901
"GNG2","AR",901
"NR3C2","AR",728
"NR3C2","AR",728
"JUN","AR",962
"JUN","AR",962
"HDAC1","AR",958
"HDAC1","AR",958
"CFTR","PSMB9",903
"CFTR","PSMB9",903
"PSMA4","PSMB9",999
"PSMA4","PSMB9",999
"PSMA3","PSMB9",999
"PSMA3","PSMB9",999
"PSMA2","PSMB9",999
"PSMA2","PSMB9",999
"NFKB1","PSMB9",920
"NFKB1","PSMB9",920
"ODC1","PSMB9",909
"ODC1","PSMB9",909
"PSMB7","PSMB9",997
"PSMB7","PSMB9",997
"PSMA6","PSMB9",999
"PSMA6","PSMB9",999
"PSMB1","PSMB9",999
"PSMB1","PSMB9",999
"PSMB6","PSMB9",900
"PSMB6","PSMB9",900
"PSMA5","PSMB9",999
"PSMA5","PSMB9",999
"PSMB4","PSMB9",999
"PSMB4","PSMB9",999
"PSMA8","PSMB9",996
"PSMA8","PSMB9",996
"PSMB10","PSMB9",999
"PSMB10","PSMB9",999
"STAT1","PSMB9",752
"STAT1","PSMB9",752
"PSMB5","PSMB9",997
"PSMB5","PSMB9",997
"PSMA7","PSMB9",999
"PSMA7","PSMB9",999
"PSMB2","PSMB9",999
"PSMB2","PSMB9",999
"CFTR","PSMB8",906
"CFTR","PSMB8",906
"PSMA4","PSMB8",999
"PSMA4","PSMB8",999
"PSMA3","PSMB8",999
"PSMA3","PSMB8",999
"PSMA2","PSMB8",999
"PSMA2","PSMB8",999
"NFKB1","PSMB8",927
"NFKB1","PSMB8",927
"ODC1","PSMB8",907
"ODC1","PSMB8",907
"PSMB7","PSMB8",997
"PSMB7","PSMB8",997
"PSMA6","PSMB8",999
"PSMA6","PSMB8",999
"PSMB1","PSMB8",999
"PSMB1","PSMB8",999
"PSMB6","PSMB8",998
"PSMB6","PSMB8",998
"PSMA5","PSMB8",999
"PSMA5","PSMB8",999
"PSMB4","PSMB8",999
"PSMB4","PSMB8",999
"PSMA8","PSMB8",995
"PSMA8","PSMB8",995
"PSMB10","PSMB8",997
"PSMB10","PSMB8",997
"STAT1","PSMB8",971
"STAT1","PSMB8",971
"PSMB5","PSMB8",942
"PSMB5","PSMB8",942
"PSMA7","PSMB8",999
"PSMA7","PSMB8",999
"PSMB2","PSMB8",999
"PSMB2","PSMB8",999
"PSMB9","PSMB8",999
"PSMB9","PSMB8",999
"EDNRA","ECE1",763
"EDNRA","ECE1",763
"NR3C1","HSPA1A",910
"NR3C1","HSPA1A",910
"HSPE1","HSPA1A",723
"HSPE1","HSPA1A",723
"EP300","HSPA1A",912
"EP300","HSPA1A",912
"EGFR","HSPA1A",798
"EGFR","HSPA1A",798
"SNCA","HSPA1A",763
"SNCA","HSPA1A",763
"AR","HSPA1A",910
"AR","HSPA1A",910
"TNFRSF1A","SYK",720
"TNFRSF1A","SYK",720
"NFKB1","SYK",926
"NFKB1","SYK",926
"IL2","SYK",954
"IL2","SYK",954
"ICAM1","SYK",721
"ICAM1","SYK",721
"FOS","SYK",941
"FOS","SYK",941
"LCK","SYK",983
"LCK","SYK",983
"SNCA","SYK",924
"SNCA","SYK",924
"PTPN11","SYK",934
"PTPN11","SYK",934
"FYN","SYK",942
"FYN","SYK",942
"TLR9","SYK",813
"TLR9","SYK",813
"JUN","SYK",951
"JUN","SYK",951
"IDE","NPPA",835
"IDE","NPPA",835
"REN","NPPA",737
"REN","NPPA",737
"SLC1A1","SLC15A1",818
"SLC1A1","SLC15A1",818
"ACE","SLC15A1",775
"ACE","SLC15A1",775
"NOS3","EDNRB",776
"NOS3","EDNRB",776
"EDNRA","EDNRB",908
"EDNRA","EDNRB",908
"ECE1","EDNRB",766
"ECE1","EDNRB",766
"SLC15A1","SLC22A6",829
"SLC15A1","SLC22A6",829
"BCHE","MAOB",701
"BCHE","MAOB",701
"MAOA","MAOB",880
"MAOA","MAOB",880
"GLO1","MAOB",823
"GLO1","MAOB",823
"EP300","CA9",929
"EP300","CARBONIC ANHYDRASE IX",929
"EP300","CA9",929
"EP300","CARBONIC ANHYDRASE IX",929
"CA4","CA9",721
"CA4","CARBONIC ANHYDRASE IX",721
"CARBONIC ANHYDRASE IV","CA9",721
"CARBONIC ANHYDRASE IV","CARBONIC ANHYDRASE IX",721
"CA4","CA9",721
"CA4","CARBONIC ANHYDRASE IX",721
"CARBONIC ANHYDRASE IV","CA9",721
"CARBONIC ANHYDRASE IV","CARBONIC ANHYDRASE IX",721
"CDK4","PCNA",999
"CDK4","PCNA",999
"KIF11","PCNA",742
"KIF11","PCNA",742
"EP300","PCNA",932
"EP300","PCNA",932
"CDK2","PCNA",999
"CDK2","PCNA",999
"BLOOM SYNDROME PROTEIN","PCNA",963
"BLOOM SYNDROME PROTEIN","PCNA",963
"CYP26B1","CYP1A1",932
"CYP26B1","CYP1A1",932
"AHR","CYP1A1",993
"AHR","CYP1A1",993
"CBR1","CYP1A1",923
"CBR1","CYP1A1",923
"GSTM1","CYP1A1",954
"GSTM1","CYP1A1",954
"NQO1","CYP1A1",761
"NQO1","CYP1A1",761
"ALOX12","ALOX15B",912
"ALOX12","ALOX15B",912
"ALOX5","ALOX15B",911
"ALOX5","ALOX15B",911
"FOLH1","GRPR",724
"FOLH1","GRPR",724
"NMBR","GRPR",812
"NMBR","GRPR",812
"BRS3","GRPR",822
"BRS3","GRPR",822
"FYN","PTPRA",953
"FYN","PTPRA",953
"PTPRS","PTPRA",825
"PTPRS","PTPRA",825
"SPR","AKR1C3",915
"SPR","AKR1C3",915
"AKR1B1","AKR1C3",906
"ALDOSE REDUCTASE","AKR1C3",906
"AKR1B1","AKR1C3",906
"ALDOSE REDUCTASE","AKR1C3",906
"CBR1","AKR1C3",970
"CBR1","AKR1C3",970
"AKR1B10","AKR1C3",913
"AKR1B10","AKR1C3",913
"AR","AKR1C3",749
"AR","AKR1C3",749
"CYP1A1","AKR1C3",933
"CYP1A1","AKR1C3",933
"AKR1C4","AKR1C3",879
"AKR1C4","AKR1C3",879
"SPR","TH",968
"SPR","TH",968
"TYROSINASE","TH",943
"TYR","TH",943
"TYROSINASE","TH",943
"TYR","TH",943
"QDPR","TH",951
"QDPR","TH",951
"AKR1B1","TH",927
"ALDOSE REDUCTASE","TH",927
"AKR1B1","TH",927
"ALDOSE REDUCTASE","TH",927
"SLC18A2","TH",937
"SLC18A2","TH",937
"LRRK2","TH",752
"LRRK2","TH",752
"FOS","TH",803
"FOS","TH",803
"SNCA","TH",992
"SNCA","TH",992
"AKR1B10","TH",907
"AKR1B10","TH",907
"DRD2","TH",858
"DRD2","TH",858
"CDK4","RAD51",895
"CDK4","RAD51",895
"KIF11","RAD51",788
"KIF11","RAD51",788
"CDK2","RAD51",869
"CDK2","RAD51",869
"PRKDC","RAD51",776
"PRKDC","RAD51",776
"BLOOM SYNDROME PROTEIN","RAD51",999
"BLOOM SYNDROME PROTEIN","RAD51",999
"PCNA","RAD51",989
"PCNA","RAD51",989
"DRD4","DRD3",823
"DRD4","DRD3",823
"PSMA3","HSPD1",723
"PSMA3","HSPD1",723
"HSPE1","HSPD1",999
"HSPE1","HSPD1",999
"LY96","HSPD1",926
"LY96","HSPD1",926
"CA2","HSPD1",929
"CARBONIC ANHYDRASE II","HSPD1",929
"CA2","HSPD1",929
"CARBONIC ANHYDRASE II","HSPD1",929
"P4HB","HSPD1",816
"P4HB","HSPD1",816
"FYN","HSPD1",836
"FYN","HSPD1",836
"HSPA1A","HSPD1",839
"HSPA1A","HSPD1",839
"RAD51","HSPD1",730
"RAD51","HSPD1",730
"EPHA4","EPHA6",907
"EPHA4","EPHA6",907
"EPHA3","EPHA6",906
"EPHA3","EPHA6",906
"LCK","EPHA6",902
"LCK","EPHA6",902
"FYN","EPHA6",903
"FYN","EPHA6",903
"EPHA7","EPHA6",915
"EPHA7","EPHA6",915
"AKT3","AKT1S1",966
"AKT3","AKT1S1",966
"PPARG","AKT1S1",836
"PPARG","AKT1S1",836
"GSK3A","AKT2",934
"GSK3A","AKT2",934
"LNPEP","AKT2",928
"LNPEP","AKT2",928
"AKT3","AKT2",813
"AKT3","AKT2",813
"NOS3","AKT2",873
"NOS3","AKT2",873
"PRKDC","AKT2",938
"PRKDC","AKT2",938
"GSK3B","AKT2",979
"GSK3B","AKT2",979
"NOS2","AKT2",828
"NOS2","AKT2",828
"CASP9","AKT2",941
"CASP9","AKT2",941
"LCK","AKT2",732
"LCK","AKT2",732
"FYN","AKT2",758
"FYN","AKT2",758
"JUN","AKT2",904
"JUN","AKT2",904
"AKT1S1","AKT2",971
"AKT1S1","AKT2",971
"IL1B","CASP5",810
"IL1B","CASP5",810
"NFKB1","MAPK8",903
"NFKB1","MAPK8",903
"IL2","MAPK8",937
"IL2","MAPK8",937
"NR3C1","MAPK8",940
"NR3C1","MAPK8",940
"EP300","MAPK8",949
"EP300","MAPK8",949
"EGFR","MAPK8",731
"EGFR","MAPK8",731
"APP","MAPK8",954
"APP","MAPK8",954
"KIT","MAPK8",918
"KIT","MAPK8",918
"FOS","MAPK8",975
"FOS","MAPK8",975
"EDNRA","MAPK8",907
"EDNRA","MAPK8",907
"LCK","MAPK8",934
"LCK","MAPK8",934
"MAPT","MAPK8",967
"MAPT","MAPK8",967
"ESR2","MAPK8",843
"ESR2","MAPK8",843
"FYN","MAPK8",937
"FYN","MAPK8",937
"JUN","MAPK8",999
"JUN","MAPK8",999
"AR","MAPK8",925
"AR","MAPK8",925
"CFTR","CXCL12",907
"CFTR","CXCL12",907
"MMP2","CXCL12",764
"MMP2","CXCL12",764
"IL1B","CXCL12",741
"IL1B","CXCL12",741
"ICAM1","CXCL12",750
"ICAM1","CXCL12",750
"HTR2C","CXCL12",903
"HTR2C","CXCL12",903
"KIT","CXCL12",802
"KIT","CXCL12",802
"VCAM1","CXCL12",928
"VCAM1","CXCL12",928
"CXCL8","CXCL12",759
"CXCL8","CXCL12",759
"GNG2","CXCL12",905
"GNG2","CXCL12",905
"LCK","CXCL12",948
"LCK","CXCL12",948
"PTPN11","CXCL12",922
"PTPN11","CXCL12",922
"DPP4","CXCL12",886
"DPP4","CXCL12",886
"STAT1","CXCL12",936
"STAT1","CXCL12",936
"MMP9","CXCL12",710
"MMP9","CXCL12",710
"ESR2","CYP19A1",885
"ESR2","CYP19A1",885
"AR","CYP19A1",806
"AR","CYP19A1",806
"CYP1A1","CYP19A1",944
"CYP1A1","CYP19A1",944
"AKR1C3","CYP19A1",955
"AKR1C3","CYP19A1",955
"ALDH5A1","ABAT",996
"ALDH5A1","ABAT",996
"CSK","HLA-A",905
"CSK","HLA-A",905
"IL2","HLA-A",963
"IL2","HLA-A",963
"LCK","HLA-A",924
"LCK","HLA-A",924
"FYN","HLA-A",906
"FYN","HLA-A",906
"STAT1","HLA-A",937
"STAT1","HLA-A",937
"JUN","HLA-A",912
"JUN","HLA-A",912
"PSMB8","HLA-A",963
"PSMB8","HLA-A",963
"TTR","THRB",734
"TTR","THRB",734
"EP300","THRB",706
"EP300","THRB",706
"THRA","THRB",905
"THRA","THRB",905
"NCOR1","THRB",985
"NCOR1","THRB",985
"RARB","THRB",908
"RARB","THRB",908
"GCLC","NFE2L2",859
"GCLC","NFE2L2",859
"AHR","NFE2L2",724
"AHR","NFE2L2",724
"FOS","NFE2L2",945
"FOS","NFE2L2",945
"NQO1","NFE2L2",905
"NQO1","NFE2L2",905
"JUN","NFE2L2",999
"JUN","NFE2L2",999
"HDAC1","NFE2L2",894
"HDAC1","NFE2L2",894
"MMP2","EPHB1",904
"MMP2","EPHB1",904
"LCK","EPHB1",906
"LCK","EPHB1",906
"FYN","EPHB1",914
"FYN","EPHB1",914
"MMP9","EPHB1",906
"MMP9","EPHB1",906
"EPHB2","EPHB1",903
"EPHB2","EPHB1",903
"GCLC","CBS",756
"GCLC","CBS",756
"BHMT","CBS",983
"BHMT","CBS",983
"GCLC","CBS",756
"GCLC","CBS",756
"BHMT","CBS",839
"BHMT","CBS",839
"IMPDH2","CBS",703
"IMPDH2","CBS",703
"CBS","CBS",801
"CBS","CBS",801
"ABCG2","ABCC1",932
"ABCG2","ABCC1",932
"HDAC7","NCOR2",979
"HDAC7","NCOR2",979
"HDAC10","NCOR2",910
"HDAC10","NCOR2",910
"HDAC5","NCOR2",993
"HDAC5","NCOR2",993
"NR3C1","NCOR2",884
"NR3C1","NCOR2",884
"AHR","NCOR2",895
"AHR","NCOR2",895
"EP300","NCOR2",974
"EP300","NCOR2",974
"HDAC4","NCOR2",999
"HDAC4","NCOR2",999
"THRA","NCOR2",988
"THRA","NCOR2",988
"NCOR1","NCOR2",972
"NCOR1","NCOR2",972
"PPARG","NCOR2",999
"PPARG","NCOR2",999
"HDAC11","NCOR2",822
"HDAC11","NCOR2",822
"HDAC3","NCOR2",999
"HDAC3","NCOR2",999
"RARB","NCOR2",956
"RARB","NCOR2",956
"HDAC6","NCOR2",843
"HDAC6","NCOR2",843
"ESR2","NCOR2",915
"ESR2","NCOR2",915
"ESRRG","NCOR2",750
"ESRRG","NCOR2",750
"HDAC1","NCOR2",999
"HDAC1","NCOR2",999
"HDAC8","NCOR2",880
"HDAC8","NCOR2",880
"AR","NCOR2",998
"AR","NCOR2",998
"HLA-A","NCOR2",708
"HLA-A","NCOR2",708
"THRB","NCOR2",993
"THRB","NCOR2",993
"G6PC","PPARA",703
"G6PC","PPARA",703
"NR0B2","PPARA",962
"NR0B2","PPARA",962
"EP300","PPARA",998
"EP300","PPARA",998
"NCOR1","PPARA",999
"NCOR1","PPARA",999
"HMGCR","PPARA",966
"HMGCR","PPARA",966
"HDAC3","PPARA",737
"HDAC3","PPARA",737
"NOS2","PPARA",936
"NOS2","PPARA",936
"JUN","PPARA",996
"JUN","PPARA",996
"HSPA1A","PPARA",943
"HSPA1A","PPARA",943
"CYP1A1","PPARA",952
"CYP1A1","PPARA",952
"CXCL12","PPARA",921
"CXCL12","PPARA",921
"NCOR2","PPARA",999
"NCOR2","PPARA",999
"PRKCH","ADRA2C",723
"PRKCH","ADRA2C",723
"CFTR","PSMB11",902
"CFTR","PSMB11",902
"PSMA4","PSMB11",986
"PSMA4","PSMB11",986
"PSMA3","PSMB11",984
"PSMA3","PSMB11",984
"PSMA2","PSMB11",962
"PSMA2","PSMB11",962
"NFKB1","PSMB11",913
"NFKB1","PSMB11",913
"ODC1","PSMB11",909
"ODC1","PSMB11",909
"PSMB7","PSMB11",965
"PSMB7","PSMB11",965
"PSMA6","PSMB11",984
"PSMA6","PSMB11",984
"PSMB1","PSMB11",986
"PSMB1","PSMB11",986
"PSMB6","PSMB11",965
"PSMB6","PSMB11",965
"PSMA5","PSMB11",985
"PSMA5","PSMB11",985
"PSMB4","PSMB11",986
"PSMB4","PSMB11",986
"PSMA8","PSMB11",977
"PSMA8","PSMB11",977
"PSMB10","PSMB11",968
"PSMB10","PSMB11",968
"PSMB5","PSMB11",815
"PSMB5","PSMB11",815
"PSMA7","PSMB11",971
"PSMA7","PSMB11",971
"PSMB2","PSMB11",986
"PSMB2","PSMB11",986
"PSMB9","PSMB11",969
"PSMB9","PSMB11",969
"PSMB8","PSMB11",816
"PSMB8","PSMB11",816
"NR3C1","CREB1",907
"NR3C1","CREB1",907
"NR0B2","CREB1",799
"NR0B2","CREB1",799
"PRKX","CREB1",929
"PRKX","CREB1",929
"EP300","CREB1",999
"EP300","CREB1",999
"PRKCG","CREB1",716
"PRKCG","CREB1",716
"AKT3","CREB1",937
"AKT3","CREB1",937
"HDAC4","CREB1",773
"HDAC4","CREB1",773
"NCOR1","CREB1",930
"NCOR1","CREB1",930
"PPARG","CREB1",719
"PPARG","CREB1",719
"NOS3","CREB1",948
"NOS3","CREB1",948
"FOS","CREB1",990
"FOS","CREB1",990
"GSK3B","CREB1",961
"GSK3B","CREB1",961
"CAMK2D","CREB1",918
"CAMK2D","CREB1",918
"JUN","CREB1",998
"JUN","CREB1",998
"HDAC1","CREB1",963
"HDAC1","CREB1",963
"AR","CREB1",843
"AR","CREB1",843
"RPS6KA3","CREB1",976
"RPS6KA3","CREB1",976
"AKT2","CREB1",944
"AKT2","CREB1",944
"NFE2L2","CREB1",960
"NFE2L2","CREB1",960
"IL1B","CASP4",956
"IL1B","CASP4",956
"CASP5","CASP4",894
"CASP5","CASP4",894
"CDC25B","CHEK1",991
"CDC25B","CHEK1",991
"KIF11","CHEK1",893
"KIF11","CHEK1",893
"CDK2","CHEK1",882
"CDK2","CHEK1",882
"TERT","CHEK1",718
"TERT","CHEK1",718
"PRKDC","CHEK1",932
"PRKDC","CHEK1",932
"BLOOM SYNDROME PROTEIN","CHEK1",993
"BLOOM SYNDROME PROTEIN","CHEK1",993
"MDM4","CHEK1",739
"MDM4","CHEK1",739
"XIAP","CHEK1",776
"XIAP","CHEK1",776
